trip_id,organization_name,is_operator
121120000305693207,Nobina Sverige AB,1
121120000305693252,Nobina Sverige AB,1
121120000305693342,Nobina Sverige AB,1
121120000305683973,Nobina Sverige AB,1
121120000305684126,Nobina Sverige AB,1
121120000305684188,Nobina Sverige AB,1
121120000305684278,Nobina Sverige AB,1
121120000305684323,Nobina Sverige AB,1
121120000305684503,Nobina Sverige AB,1
121120000305684548,Nobina Sverige AB,1
121120000305684593,Nobina Sverige AB,1
121120000305684908,Nobina Sverige AB,1
121120000305684953,Nobina Sverige AB,1
121120000305684998,Nobina Sverige AB,1
121120000305685383,Nobina Sverige AB,1
121120000305685993,Nobina Sverige AB,1
121120000305686083,Nobina Sverige AB,1
121120000305686128,Nobina Sverige AB,1
121120000305686173,Nobina Sverige AB,1
121120000305686398,Nobina Sverige AB,1
121120000305686443,Nobina Sverige AB,1
121120000305686584,Nobina Sverige AB,1
121120000305686652,Nobina Sverige AB,1
121120000305686686,Nobina Sverige AB,1
121120000305686720,Nobina Sverige AB,1
121120000305686816,Nobina Sverige AB,1
121120000305687041,Nobina Sverige AB,1
121120000305687131,Nobina Sverige AB,1
121120000305687311,Nobina Sverige AB,1
121120000305687446,Nobina Sverige AB,1
121120000305687491,Nobina Sverige AB,1
121120000305687761,Nobina Sverige AB,1
121120000305687810,Nobina Sverige AB,1
121120000305687908,Nobina Sverige AB,1
121120000305688092,Nobina Sverige AB,1
121120000305688182,Nobina Sverige AB,1
121120000305688272,Nobina Sverige AB,1
121120000305688452,Nobina Sverige AB,1
121120000305688577,Nobina Sverige AB,1
121120000305688612,Nobina Sverige AB,1
121120000305688822,Nobina Sverige AB,1
121120000305688857,Nobina Sverige AB,1
121120000305688892,Nobina Sverige AB,1
121120000305689032,Nobina Sverige AB,1
121120000305689202,Nobina Sverige AB,1
121120000305689247,Nobina Sverige AB,1
121120000305689292,Nobina Sverige AB,1
121120000305689427,Nobina Sverige AB,1
121120000305689697,Nobina Sverige AB,1
121120000305689787,Nobina Sverige AB,1
121120000305690192,Nobina Sverige AB,1
121120000305690237,Nobina Sverige AB,1
121120000305690417,Nobina Sverige AB,1
121120000305690507,Nobina Sverige AB,1
121120000305690597,Nobina Sverige AB,1
121120000305690957,Nobina Sverige AB,1
121120000305691002,Nobina Sverige AB,1
121120000305691092,Nobina Sverige AB,1
121120000305691137,Nobina Sverige AB,1
121120000305691227,Nobina Sverige AB,1
121120000305691542,Nobina Sverige AB,1
121120000305691677,Nobina Sverige AB,1
121120000305691812,Nobina Sverige AB,1
121120000305692082,Nobina Sverige AB,1
121120000305692172,Nobina Sverige AB,1
121120000305692217,Nobina Sverige AB,1
121120000305692262,Nobina Sverige AB,1
121120000305692352,Nobina Sverige AB,1
121120000305692802,Nobina Sverige AB,1
121120000305693117,Nobina Sverige AB,1
121120000305693297,Nobina Sverige AB,1
121120000305693432,Nobina Sverige AB,1
121120000305689562,Nobina Sverige AB,1
121120000305689607,Nobina Sverige AB,1
121120000305689652,Nobina Sverige AB,1
121120000305689877,Nobina Sverige AB,1
121120000305690282,Nobina Sverige AB,1
121120000305690372,Nobina Sverige AB,1
121120000305691272,Nobina Sverige AB,1
121120000305691317,Nobina Sverige AB,1
121120000305691497,Nobina Sverige AB,1
121120000305691992,Nobina Sverige AB,1
121120000305692307,Nobina Sverige AB,1
121120000305692397,Nobina Sverige AB,1
121120000305692532,Nobina Sverige AB,1
121120000305692577,Nobina Sverige AB,1
121120000305692622,Nobina Sverige AB,1
121120000305692892,Nobina Sverige AB,1
121120000305692937,Nobina Sverige AB,1
121120000305692982,Nobina Sverige AB,1
121120000305693387,Nobina Sverige AB,1
121120000305693522,Nobina Sverige AB,1
121120000304236932,Nobina Sverige AB,1
121120000304237096,Nobina Sverige AB,1
121120000304237212,Nobina Sverige AB,1
121120000304237992,Nobina Sverige AB,1
121120000304238108,Nobina Sverige AB,1
121120000304238224,Nobina Sverige AB,1
121120000304238282,Nobina Sverige AB,1
121120000304238514,Nobina Sverige AB,1
